County,Votes
Madison,53660.0
Fayette,53426.0
Ozaukee,53368.0
Cumberland,53018.0
Bay,52932.0
Saline,52578.0
"Tangipahoa Parish, Louisiana",52381.0
Gallatin,52335.0
Blair,52029.0
Maui,51942.0
Blount,51849.0
Miami,51467.0
Grand Traverse,51460.0
Douglas,51350.0
Clark,51104.0
Fond du Lac,51094.0
Kendall,50815.0
Cass,50715.0
Windham,50703.0
Yolo,50623.0
Walworth,50570.0
Lycoming,50294.0
Roanoke,50149.0
Grafton,50115.0
Franklin,50045.0
Morgan,49991.0
Wayne,49824.0
"Bossier Parish, Louisiana",49818.0
Mercer,49594.0
Washington,49411.0
Chautauqua,49381.0
Dubuque,49037.0
Story,48910.0
Pickens,48871.0
Midland,48753.0
Geauga,48736.0
Wayne,48550.0
LaSalle,48447.0
Warren,48442.0
Warren,48436.0
Cape May,48375.0
Douglas,48231.0
Jasper,48179.0
Sherburne,47938.0
Moore,47746.0
Pennington,47741.0
Ontario,47664.0
Wyandotte,47467.0
Calhoun,47376.0
Macon,47283.0
Faulkner,47196.0
Adams,47138.0
Grayson,47068.0
Nash,46903.0
Burleigh,46874.0
St. Croix,46819.0
Platte,46641.0
Kankakee,46556.0
Nassau,46537.0
Flathead,46250.0
Craven,46231.0
San Juan,45975.0
Lenawee,45895.0
Daviess,45781.0
Highlands,45589.0
Benton,45577.0
Cowlitz,45485.0
Jackson,45465.0
Taylor,45266.0
Columbiana,45261.0
St. Mary's,45169.0
Lapeer,45126.0
Yamhill,45116.0
Madison,45048.0
LaPorte,44994.0
Harnett,44955.0
Coconino,44929.0
Delaware,44699.0
Allen,44636.0
Clarke,44221.0
Bonneville,44212.0
Putnam,44186.0
Cleveland,44137.0
Oswego,44122.0
Sebastian,44119.0
Sumter,44048.0
"Terrebonne Parish, Louisiana",43893.0
Newton,43787.0
Carroll,43744.0
Etowah,43474.0
Calvert,43445.0
Cochise,43147.0
Hardin,43141.0
"Portsmouth city, Virginia",43000.0
Woodbury,42933.0
Dodge,42818.0
Berkeley,42770.0
James City,42737.0
Montgomery,42695.0
Josephine,42613.0
DeKalb,42605.0
Merced,42523.0
Campbell,42489.0
Monroe,42434.0
Island,42425.0
Midland,42379.0
Jefferson,42324.0
Cecil,42309.0
Pottawattamie,42226.0
Bedford,42186.0
Houston,42030.0
"Suffolk city, Virginia",41929.0
Imperial,41751.0
"Roanoke city, Virginia",41728.0
"Lafourche Parish, Louisiana",41644.0
Christian,41394.0
Rockingham,41374.0
Gregg,41365.0
Cheshire,41120.0
Kaufman,40979.0
Rogers,40834.0
Yuma,40759.0
Garland,40734.0
Clinton,40564.0
Lawrence,40555.0
Walton,40425.0
Napa,40393.0
Frederick,40133.0
Tuscarawas,40088.0
Manitowoc,39991.0
"St. Landry Parish, Louisiana",39970.0
Laramie,39945.0
Newport,39813.0
Ashtabula,39809.0
Vigo,39569.0
Rockwall,39529.0
Robeson,39454.0
Lincoln,39449.0
Limestone,39400.0
Bartow,39263.0
Chatham,39080.0
Orangeburg,38824.0
Lauderdale,38813.0
Wicomico,38722.0
Lancaster,38717.0
Bradley,38392.0
Steuben,38373.0
Portage,38123.0
Tom Green,38104.0
Franklin,37987.0
St. Clair,37937.0
Wichita,37913.0
Madison,37764.0
Tompkins,37747.0
Indiana,37728.0
Wood,37712.0
Burke,37638.0
Dallas,37617.0
Wilson,37593.0
Rockdale,37589.0
Broomfield,37342.0
Madison,37336.0
Cullman,37278.0
Cole,37261.0
Floyd,37225.0
Fauquier,37124.0
Polk,37030.0
Carteret,36919.0
Elmore,36905.0
Cape Girardeau,36875.0
Lowndes,36813.0
Howard,36754.0
Erie,36730.0
Augusta,36661.0
Wayne,36598.0
Rockingham,36536.0
Ector,36373.0
Muskingum,36217.0
Sevier,36180.0
Bullitt,36054.0
Hancock,36027.0
Cache,35879.0
Caldwell,35747.0
Monongalia,35733.0
Somerset,35730.0
Crow Wing,35568.0
Buchanan,35563.0
Crawford,35563.0
Navajo,35409.0
Craighead,35404.0
"Lynchburg city, Virginia",35349.0
Wood,35256.0
Hancock,35216.0
St. Lawrence,35154.0
Maury,35068.0
Northumberland,34971.0
Marshall,34965.0
Aroostook,34963.0
Belknap,34497.0
Bowie,34470.0
Polk,34444.0
Madera,34263.0
Jefferson,34263.0
Floyd,34250.0
York,34062.0
Shiawassee,34044.0
Glynn,34041.0
Dougherty,33925.0
Cascade,33923.0
Lewis and Clark,33800.0
Humboldt,33636.0
Walton,33559.0
Oconee,33530.0
Bannock,33405.0
Nevada,33258.0
Blue Earth,33256.0
Talladega,33218.0
Van Buren,33213.0
Chemung,33195.0
Clallam,32985.0
Marquette,32897.0
Oldham,32853.0
Cabell,32701.0
Clearfield,32692.0
Putnam,32652.0
Comanche,32504.0
Natrona,32493.0
"Iberia Parish, Louisiana",32454.0
Bartholomew,32389.0
Otter Tail,32284.0
Kings,32250.0
Rice,32217.0
Boone,32061.0
Hancock,31983.0
Lee,31974.0
Kosciusko,31907.0
Twin Falls,31893.0
Adams,31770.0
Orange,31761.0
Pittsylvania,31687.0
Surry,31663.0
Georgetown,31519.0
Chippewa,31471.0
Williamson,31422.0
Livingston,31363.0
Jefferson,31346.0
McCracken,31294.0
Wagoner,31246.0
Sauk,31238.0
Hunt,31185.0
Morgan,31180.0
Oxford,31094.0
Victoria,31032.0
Wilkes,30844.0
La Plata,30722.0
Belmont,30537.0
Armstrong,30446.0
Sutter,30429.0
Whitfield,30362.0
Barry,30265.0
Coos,30181.0
Haywood,30156.0
Cayuga,30124.0
Chisago,30009.0
Franklin,29902.0
Angelina,29870.0
Henderson,29855.0
Vermilion,29799.0
Rutherford,29764.0
Anderson,29723.0
Grand Forks,29711.0
Leavenworth,29676.0
Darlington,29636.0
Scioto,29618.0
Warrick,29609.0
Stanly,29451.0
Raleigh,29311.0
Columbia,29287.0
Walker,29243.0
Klamath,29240.0
Salem,29220.0
Clay,29108.0
Carroll,29083.0
Washington,28992.0
Lauderdale,28967.0
Cattaraugus,28961.0
Ross,28955.0
Kershaw,28875.0
Barrow,28828.0
Creek,28786.0
Watauga,28769.0
Carbon,28721.0
Columbia,28696.0
Washington,28654.0
Greenwood,28600.0
Clinton,28378.0
Potter,28330.0
Grant,28260.0
Jones,28250.0
Bastrop,28250.0
Pulaski,28034.0
White,27945.0
Athens,27941.0
Douglas,27871.0
Harrison,27868.0
Windsor,27832.0
Allegany,27804.0
Knox,27768.0
Mason,27767.0
Payne,27749.0
Rutland,27660.0
Warren,27568.0
Valencia,27509.0
Sandusky,27491.0
Chelan,27415.0
Madison,27392.0
"Acadia Parish, Louisiana",27386.0
Forrest,27284.0
Columbia,27255.0
Campbell,27218.0
Columbia,27127.0
Pender,27072.0
Jackson,27057.0
Butler,27051.0
Robertson,27042.0
Lonoke,27007.0
Putnam,26958.0
Granville,26920.0
Warren,26916.0
Ward,26861.0
Franklin,26805.0
Grays Harbor,26736.0
Montcalm,26556.0
Union,26533.0
Catoosa,26510.0
Sullivan,26509.0
Newton,26506.0
Laurens,26474.0
Calumet,26429.0
Harrison,26364.0
Ionia,26364.0
Kauai,26335.0
Garfield,26328.0
Cumberland,26298.0
"St. Charles Parish, Louisiana",26190.0
Tuscola,26157.0
Hood,26120.0
Umatilla,26116.0
DeKalb,26086.0
Pike,26066.0
Somerset,25968.0
Lawrence,25949.0
Spalding,25940.0
Winona,25852.0
Jefferson,25821.0
Troup,25793.0
"St. Martin Parish, Louisiana",25749.0
Washington,25715.0
Marion,25648.0
Sampson,25638.0
Wayne,25575.0
Worcester,25571.0
Goodhue,25538.0
Lenoir,25500.0
Waupaca,25491.0
Pottawatomie,25417.0
Bradford,25399.0
Blount,25384.0
Isabella,25344.0
"Vermilion Parish, Louisiana",25253.0
Grant,25239.0
Lincoln,25231.0
Whiteside,25210.0
Lowndes,25139.0
Columbia,25077.0
"Carson City, Nevada",25016.0
Darke,25000.0
Lewis,24995.0
Halifax,24881.0
Lincoln,24857.0
Laurel,24824.0
Bristol,24725.0
St. Francois,24714.0
Lee,24676.0
Wise,24661.0
Autauga,24661.0
Edgecombe,24653.0
Pike,24650.0
Queen Anne's,24633.0
