County,Votes
Ottawa,2866.0
Lanier,2861.0
Elliott,2855.0
Perry,2855.0
Lafayette,2846.0
Carter,2842.0
Nicholas,2840.0
Doddridge,2826.0
Mitchell,2824.0
Alexander,2820.0
Parmer,2818.0
Greenwood,2811.0
Craig,2784.0
Menifee,2780.0
Powell,2778.0
Monroe,2778.0
Dallas,2769.0
Hamlin,2762.0
Power,2758.0
Stanton,2748.0
Day,2747.0
Dixon,2744.0
Big Stone,2729.0
Atchison,2723.0
Washington,2708.0
Saguache,2707.0
Stark,2707.0
Essex,2706.0
Tillman,2706.0
Pondera,2702.0
Treutlen,2700.0
Gallatin,2691.0
Hamilton,2688.0
McHenry,2687.0
Ringgold,2684.0
Frio,2683.0
Washington,2677.0
Lee,2667.0
Florence,2651.0
Blaine,2645.0
Wolfe,2635.0
Tripp,2630.0
Ellsworth,2626.0
Thayer,2613.0
Phillips,2611.0
Pickett,2609.0
Atkinson,2604.0
Calhoun,2604.0
Cotton,2602.0
Pawnee,2602.0
Carlisle,2601.0
Brooks,2596.0
McCook,2587.0
Scott,2583.0
Chouteau,2581.0
Luce,2576.0
Morris,2568.0
Woodruff,2566.0
Sheridan,2565.0
Storey,2558.0
Calhoun,2556.0
Kingsbury,2551.0
"Tensas Parish, Louisiana",2543.0
Miller,2540.0
Polk,2538.0
Sherman,2537.0
Hot Springs,2535.0
Gilmer,2528.0
Harper,2513.0
Beaver,2490.0
Sullivan,2484.0
Republic,2484.0
Walworth,2477.0
Pulaski,2473.0
"Lexington city, Virginia",2448.0
Clinch,2443.0
Mora,2434.0
Van Buren,2417.0
Lander,2413.0
Custer,2413.0
Wirt,2410.0
Musselshell,2409.0
Lincoln,2402.0
Forest,2398.0
"Buena Vista city, Virginia",2395.0
Coal,2393.0
Fulton,2382.0
Rooks,2378.0
Dickey,2372.0
"Covington city, Virginia",2369.0
"Emporia city, Virginia",2367.0
"Galax city, Virginia",2363.0
Kittson,2363.0
San Saba,2354.0
Wells,2352.0
Holt,2348.0
Jefferson,2345.0
Putnam,2342.0
Brown,2336.0
Wahkiakum,2333.0
Phillips,2332.0
Warren,2332.0
Ransom,2317.0
Furnas,2315.0
Grant,2311.0
Wheeler,2306.0
Yoakum,2299.0
Garfield,2294.0
Brule,2288.0
Delta,2279.0
Hyde,2273.0
Calhoun,2264.0
Alfalfa,2256.0
Dewey,2246.0
Bath,2243.0
Mills,2238.0
Beaver,2237.0
Lake of the Woods,2230.0
Hancock,2229.0
Barber,2209.0
Presidio,2203.0
Grant,2200.0
Dunn,2199.0
Mitchell,2190.0
Swisher,2190.0
Norton,2190.0
Adams,2183.0
Valley,2172.0
Columbia,2171.0
Morrill,2166.0
Scott,2159.0
Hickman,2157.0
Nuckolls,2153.0
Phillips,2149.0
Hardin,2133.0
Pope,2132.0
Lincoln,2132.0
Todd,2125.0
Jim Hogg,2119.0
LaMoure,2115.0
Baca,2107.0
Wheeler,2102.0
Gregory,2091.0
Childress,2084.0
Adams,2082.0
Sweet Grass,2080.0
Deuel,2080.0
Mahnomen,2074.0
Oneida,2068.0
Mason,2053.0
Stewart,2053.0
Johnson,2051.0
La Salle,2049.0
Catron,2035.0
Thurston,2029.0
Cameron,2024.0
Toole,2024.0
Calhoun,2023.0
Pierce,2020.0
Smith,2014.0
Gray,2011.0
Hanson,2006.0
Mineral,1997.0
Lynn,1997.0
Castro,1996.0
Mineral,1985.0
Pershing,1982.0
Sargent,1978.0
Lake,1970.0
Cavalier,1969.0
Scotland,1968.0
Emmons,1959.0
Floyd,1958.0
Marshall,1947.0
Hansford,1947.0
Hartley,1945.0
Kimble,1945.0
Benson,1940.0
Schuyler,1933.0
Sharkey,1926.0
Edmunds,1918.0
Schley,1909.0
Greer,1896.0
Bent,1892.0
Stafford,1884.0
Winkler,1873.0
Red Lake,1871.0
Knox,1867.0
Hidalgo,1863.0
Stevens,1853.0
Chase,1851.0
Chautauqua,1845.0
Sheridan,1827.0
Ellis,1826.0
Costilla,1820.0
Hand,1818.0
Guadalupe,1814.0
Sierra,1804.0
Traverse,1791.0
Bailey,1784.0
Bowman,1769.0
Granite,1765.0
Haskell,1765.0
Terry,1763.0
Owsley,1759.0
Roger Mills,1758.0
Martin,1755.0
Osborne,1753.0
Lincoln,1748.0
Mercer,1739.0
Fisher,1722.0
Crosby,1712.0
Dewey,1707.0
Tyrrell,1700.0
Foster,1699.0
Union,1697.0
Nelson,1694.0
Hemphill,1687.0
Webster,1687.0
Real,1678.0
Meade,1675.0
Clark,1657.0
Franklin,1656.0
Kimball,1636.0
Perkins,1606.0
Douglas,1605.0
Nance,1599.0
Lewis,1590.0
Harlan,1582.0
Brown,1579.0
Stanley,1567.0
Sherman,1553.0
Dallam,1535.0
Crowley,1511.0
Hardeman,1511.0
Shackelford,1502.0
Baylor,1492.0
Harper,1485.0
Jewell,1483.0
Fallon,1476.0
Garza,1475.0
Rush,1474.0
Decatur,1460.0
Donley,1460.0
Trego,1459.0
"Norton city, Virginia",1456.0
Rawlins,1448.0
Lincoln,1448.0
Baker,1440.0
Hitchcock,1440.0
Ness,1435.0
Keweenaw,1429.0
Kinney,1424.0
Coke,1423.0
McIntosh,1423.0
Lyman,1421.0
Woodson,1420.0
Perkins,1418.0
Sutton,1415.0
Wayne,1410.0
Cheyenne,1409.0
Aurora,1407.0
Crockett,1395.0
Highland,1391.0
Glascock,1390.0
Chattahoochee,1384.0
Crane,1381.0
Sedgwick,1364.0
Sheridan,1362.0
Grant,1361.0
Kidder,1358.0
Knox,1358.0
Logan,1348.0
Chase,1342.0
Potter,1335.0
Gove,1328.0
Kearny,1325.0
Lipscomb,1322.0
Pawnee,1314.0
Frontier,1310.0
Edwards,1308.0
Haskell,1300.0
Niobrara,1297.0
Upton,1296.0
Menominee,1279.0
Clay,1271.0
Graham,1265.0
Hettinger,1261.0
Elk,1259.0
Renville,1255.0
Griggs,1247.0
Garfield,1232.0
Butte,1230.0
Dolores,1230.0
Eddy,1219.0
Adams,1206.0
Judith Basin,1192.0
Divide,1187.0
Sioux,1177.0
Corson,1175.0
Jeff Davis,1175.0
Echols,1175.0
Greeley,1165.0
Morton,1160.0
Collingsworth,1154.0
Bennett,1149.0
Boyd,1142.0
McPherson,1137.0
Towner,1137.0
Sanborn,1123.0
Faulk,1118.0
Webster,1114.0
Rich,1096.0
Jackson,1095.0
Hall,1089.0
Cimarron,1077.0
Cheyenne,1076.0
Concho,1067.0
Edwards,1065.0
